
[2020-02-22 18:58:40,802][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-jnl6",{"micros":175719,"calls":["discord-sessions-prd-1-28",{"micros":174229,"calls":["start_session",{"micros":169881,"calls":["api-prd-main-jtsw",{"micros":166825,"calls":["get_user",{"micros":2657},"add_authorized_ip",{"micros":1721},"get_guilds",{"micros":6843},"coros_wait",{"micros":2}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":0,"calls":[]}]}]}] (Session ID: 2d52cb4e3e9c7ac39ab280870b5197ca).

[2020-02-22 18:58:42,808][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:02:34,906][exts.essentials]:Switching to invisible mode

[2020-02-22 19:02:36,826][exts.essentials]:Closing connection to discord

[2020-02-22 19:02:37,017][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:02:37,018][discord.client]:Cleaning up tasks.

[2020-02-22 19:02:37,019][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:02:37,020][discord.client]:All tasks finished cancelling.

[2020-02-22 19:02:37,021][discord.client]:Closing the event loop.

[2020-02-22 19:02:38,578][utilities]:Innitalized utilities logger

[2020-02-22 19:02:38,579][help]:Innitalized help logger

[2020-02-22 19:02:38,580][config]:Innitalized config logger

[2020-02-22 19:02:38,580][__main__]:Initalized __main__ logger

[2020-02-22 19:02:38,580][discord]:Initalized discord's logger

[2020-02-22 19:02:38,602][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:02:38,603][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:02:38,603][exts.development]:Innitalized exts.development logger

[2020-02-22 19:02:38,604][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:02:38,604][exts.role]:Innitalized exts.role logger

[2020-02-22 19:02:38,605][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:02:38,606][exts.time]:Innitalized exts.time logger

[2020-02-22 19:02:38,607][discord.client]:logging in using static token

[2020-02-22 19:02:46,676][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:02:46,677][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:02:50,152][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-tc7w",{"micros":3284405,"calls":["discord-sessions-prd-1-39",{"micros":3281410,"calls":["start_session",{"micros":3278739,"calls":["api-prd-main-4wk9",{"micros":3275299,"calls":["get_user",{"micros":3440},"add_authorized_ip",{"micros":3802},"get_guilds",{"micros":3694},"coros_wait",{"micros":3}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 7f7ccf8de1fd0de67b9f0371802e64e5).

[2020-02-22 19:02:52,155][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:03:13,935][exts.essentials]:Switching to invisible mode

[2020-02-22 19:03:14,459][exts.essentials]:Closing connection to discord

[2020-02-22 19:03:14,646][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:03:14,647][discord.client]:Cleaning up tasks.

[2020-02-22 19:03:14,648][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:03:14,649][discord.client]:All tasks finished cancelling.

[2020-02-22 19:03:14,649][discord.client]:Closing the event loop.

[2020-02-22 19:32:55,330][utilities]:Innitalized utilities logger

[2020-02-22 19:32:55,330][help]:Innitalized help logger

[2020-02-22 19:32:55,331][config]:Innitalized config logger

[2020-02-22 19:32:55,332][__main__]:Initalized __main__ logger

[2020-02-22 19:32:55,332][discord]:Initalized discord's logger

[2020-02-22 19:32:55,335][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:32:55,336][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:32:55,337][exts.development]:Innitalized exts.development logger

[2020-02-22 19:32:55,337][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:32:55,338][exts.role]:Innitalized exts.role logger

[2020-02-22 19:32:55,339][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:32:55,339][exts.time]:Innitalized exts.time logger

[2020-02-22 19:32:55,340][discord.client]:logging in using static token

[2020-02-22 19:32:56,287][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:32:56,288][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:32:56,522][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-856r",{"micros":64153,"calls":["discord-sessions-prd-1-15",{"micros":61459,"calls":["start_session",{"micros":57150,"calls":["api-prd-main-rhnf",{"micros":48902,"calls":["get_user",{"micros":6259},"add_authorized_ip",{"micros":1296},"get_guilds",{"micros":2261},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 4ba7b2de14f93253fa5e37772a8a6e3a).

[2020-02-22 19:32:58,525][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:33:01,167][exts.essentials]:Switching to invisible mode

[2020-02-22 19:33:01,411][exts.essentials]:Closing connection to discord

[2020-02-22 19:33:01,571][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:33:01,571][discord.client]:Cleaning up tasks.

[2020-02-22 19:33:01,572][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:33:01,572][discord.client]:All tasks finished cancelling.

[2020-02-22 19:33:01,572][discord.client]:Closing the event loop.

[2020-02-22 19:53:46,189][utilities]:Innitalized utilities logger

[2020-02-22 19:53:46,190][help]:Innitalized help logger

[2020-02-22 19:53:46,191][config]:Innitalized config logger

[2020-02-22 19:53:46,192][__main__]:Initalized __main__ logger

[2020-02-22 19:53:46,192][discord]:Initalized discord's logger

[2020-02-22 19:53:46,193][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:53:46,194][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:53:46,195][exts.development]:Innitalized exts.development logger

[2020-02-22 19:53:46,195][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:53:46,196][exts.role]:Innitalized exts.role logger

[2020-02-22 19:53:46,197][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:53:46,198][exts.time]:Innitalized exts.time logger

[2020-02-22 19:53:46,199][discord.client]:logging in using static token

[2020-02-22 19:53:47,265][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:53:47,268][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:53:47,502][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-vlf3",{"micros":42451,"calls":["discord-sessions-prd-1-19",{"micros":38899,"calls":["start_session",{"micros":34737,"calls":["api-prd-main-7sxf",{"micros":32107,"calls":["get_user",{"micros":2283},"add_authorized_ip",{"micros":2250},"get_guilds",{"micros":4024},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":40,"calls":[]},"presence_connect",{"micros":2511,"calls":[]}]}]}] (Session ID: 2b4b2424a187a6d54f0c201fc8e67d02).

[2020-02-22 19:53:49,506][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:54:09,903][exts.essentials]:Switching to invisible mode

[2020-02-22 19:54:10,632][exts.essentials]:Closing connection to discord

[2020-02-22 19:54:10,862][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:54:10,864][discord.client]:Cleaning up tasks.

[2020-02-22 19:54:10,864][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:54:10,866][discord.client]:All tasks finished cancelling.

[2020-02-22 19:54:10,866][discord.client]:Closing the event loop.

[2020-02-22 19:54:32,646][utilities]:Innitalized utilities logger

[2020-02-22 19:54:32,648][help]:Innitalized help logger

[2020-02-22 19:54:32,648][config]:Innitalized config logger

[2020-02-22 19:54:32,649][__main__]:Initalized __main__ logger

[2020-02-22 19:54:32,649][discord]:Initalized discord's logger

[2020-02-22 19:54:32,650][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:54:32,651][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:54:32,652][exts.development]:Innitalized exts.development logger

[2020-02-22 19:54:32,653][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:54:32,654][exts.role]:Innitalized exts.role logger

[2020-02-22 19:54:32,654][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:54:32,655][exts.time]:Innitalized exts.time logger

[2020-02-22 19:54:32,657][discord.client]:logging in using static token

[2020-02-22 19:54:34,803][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:54:34,807][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:54:35,040][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-fqfb",{"micros":66083,"calls":["discord-sessions-prd-1-7",{"micros":57005,"calls":["start_session",{"micros":48700,"calls":["api-prd-main-7wb8",{"micros":43470,"calls":["get_user",{"micros":2104},"add_authorized_ip",{"micros":2104},"get_guilds",{"micros":2092},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":0,"calls":[]}]}]}] (Session ID: 9b7d17b94ac6955fd8d41574a0ebdd99).

[2020-02-22 19:54:37,043][exts.essentials]:Logged in as Test Bot#6948

